Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
160A,C15158,"KIRKLAND CONSTRUCTION, L.L.L.P.","$3,581,172.25","$3,789,887.00","-$208,714.75",-5.51%,0,3/17/2005
107C,C15158,KNJ INCORPORATED,,"$3,789,887.00","-$3,789,887.00",0.00%,0,3/17/2005
163A,C15158,LAFARGE NORTH AMERICA INC.,"$3,184,433.35","$3,789,887.00","-$605,453.65",-15.98%,1,3/17/2005
766C,C15158,MCATEE CONSTRUCTION CO.,"$3,496,493.78","$3,789,887.00","-$293,393.22",-7.74%,0,3/17/2005
183A,C15158,MCATEE-RENQUIST PAVING COMPANY,,"$3,789,887.00","-$3,789,887.00",0.00%,0,3/17/2005
257A,C15158,SIMON CONTRACTORS,,"$3,789,887.00","-$3,789,887.00",0.00%,0,3/17/2005
903A,C15158,"TLM CONSTRUCTORS, INC.",,"$3,789,887.00","-$3,789,887.00",0.00%,0,3/17/2005
,C15158 Average,,,,"-$1,988,171.66",-2.46%,,
164A,C15155,EDWARD KRAEMER AND SONS INCORPORATED,"$14,560,925.00","$10,506,080.77","$4,054,844.23",38.60%,0,3/24/2005
159C,C15155,KIEWIT WESTERN CO.,"$15,665,021.34","$10,506,080.77","$5,158,940.57",49.10%,0,3/24/2005
,C15155 Average,,,,"$4,606,892.40",43.85%,,
074A,MM6037,CRUZ CONSTRUCTION INCORPORATED,"$55,169.58","$50,288.90","$4,880.68",9.71%,0,3/24/2005
447A,MM6037,IDEAL FENCING CORPORATION,"$52,274.60","$50,288.90","$1,985.70",3.95%,0,3/24/2005
1050A,MM6037,WATERFORD CORPORATION,"$42,696.10","$50,288.90","-$7,592.80",-15.10%,1,3/24/2005
,MM6037 Average,,,,-$242.14,-0.48%,,
011A,C12560,AMES CONSTRUCTION INCORPORATED,,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
924A,C12560,"ASPHALT SPECIALTIES CO., INC.",,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
880A,C12560,"BOSCO-FRIEDLAND CONSTRUCTORS, INC.",,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
1040A,C12560,BTE CONCRETE FORMWORK LIMITED LIABILITY COMPANY,"$4,580,231.47","$2,512,647.75","$2,067,583.72",82.29%,0,3/31/2005
968A,C12560,"COLORADO CONSTRUCTORS, INC.",,"$2,512,647.75","-$2,512,647.75",0.00%,0,3/31/2005
